instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0365,0.0509,,0.0166,0.031,
c6gd.medium,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0436,0.058,,0.0188,0.0332,
c7a.medium,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,2.0,EBS only,unsupported,0.058,0.0724,0.104,0.0263,0.0407,0.0723
c7g.medium,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0388,0.0532,,0.0177,0.0321,
c7gd.medium,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0515,0.0659,,0.0222,0.0366,
c8g.medium,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0426,0.057,,0.0194,0.0338,
c8gd.medium,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0556,0.07,,,,
m6g.medium,m6g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.043,0.0574,,0.0184,0.0328,
m6gd.medium,m6gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0504,0.0648,,0.0218,0.0362,
m7a.medium,m7a,General purpose,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,4.0,EBS only,unsupported,0.0646,0.079,0.1106,0.0293,0.0437,0.0753
m7g.medium,m7g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0455,0.0599,,0.0206,0.035,
m7gd.medium,m7gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0595,0.0739,,0.0257,0.0401,
m8g.medium,m8g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,4.0,EBS only,unsupported,0.05,0.0644,,0.0226,0.037,
m8gd.medium,m8gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0643,0.0787,,,,
r6g.medium,r6g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0564,0.0708,,0.0244,0.0388,
r6gd.medium,r6gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.064,0.0784,,0.0276,0.042,
r7a.medium,r7a,Memory optimized,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,8.0,EBS only,unsupported,0.0851,0.0995,0.1311,0.0386,0.053,0.0846
r7g.medium,r7g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0599,0.0743,,0.0272,0.0416,
r7gd.medium,r7gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0756,0.09,,0.0327,0.0471,
r8g.medium,r8g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,8.0,EBS only,unsupported,0.0659,0.0803,,0.0299,0.0443,
r8gd.medium,r8gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0817,0.096,,,,
t3.nano,t,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0057,,0.0103,0.0025,,0.0071
t4g.nano,t,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0046,,,0.002,,
t3.micro,t,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0114,0.0402,0.0206,0.0049,0.0337,0.0141
t4g.micro,t,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0092,0.038,,0.004,0.0328,
t3.small,t,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0228,0.0516,0.0412,0.0098,0.0386,0.0282
t4g.small,t,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0184,0.0472,,0.0079,0.0367,
c5.large,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.096,0.125,0.188,0.041,0.07,0.133
c5d.large,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.109,0.138,0.201,0.047,0.076,0.139
c6g.large,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.073,0.1018,,0.0332,0.062,
c6gd.large,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.0872,0.116,,0.0377,0.0665,
c6in.large,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.128,0.1568,0.22,0.054,0.0828,0.146
c7a.large,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,2.0,4.0,EBS only,unsupported,0.1159,0.1447,0.2079,0.0526,0.0814,0.1446
c7g.large,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0775,0.1063,,0.0353,0.0641,
c7gd.large,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.103,0.1318,,0.0445,0.0733,
c7i-flex.large,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.0958,0.1246,0.1832,0.0434,0.0722,0.1308
c7i.large,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.1008,0.1296,0.1928,0.0457,0.0745,0.1377
c8g.large,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,4.0,EBS only,supported,0.0853,0.1141,,0.0389,0.0677,
c8gd.large,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.1112,0.14,,,,
t3.medium,t,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0456,0.0744,0.064,0.0197,0.0485,0.0381
t4g.medium,t,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0368,0.0656,,0.0159,0.0447,
im4gn.large,im4gn,Storage optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 937 SSD,unsupported,0.2006,0.2293,,0.0915,0.1203,
m5.large,m5,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.107,0.136,0.199,0.046,0.075,0.138
m5d.large,m5d,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.126,0.155,0.218,0.054,0.083,0.146
m6g.large,m6g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.086,0.1148,,0.0367,0.0655,
m6gd.large,m6gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1008,0.1296,,0.0435,0.0723,
m6idn.large,m6idn,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,1 x 118 NVMe SSD,unsupported,0.1742,0.203,0.2662,0.0671,0.0959,0.1591
m6in.large,m6in,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,EBS only,unsupported,0.1552,0.184,0.2472,0.0598,0.0886,0.1518
m7a.large,m7a,General purpose,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,2.0,8.0,EBS only,unsupported,0.1292,0.158,0.2212,0.0586,0.0874,0.1506
m7g.large,m7g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,8.0,EBS only,supported,0.0909,0.1197,,0.0411,0.0699,
m7gd.large,m7gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1191,0.1479,,0.0514,0.0802,
m7i-flex.large,m7i-flex,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,8.0,EBS only,unsupported,0.1067,0.1355,0.1941,0.0484,0.0772,0.1358
m7i.large,m7i,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,8.0,EBS only,unsupported,0.1124,0.1411,0.2044,0.051,0.0798,0.143
m8g.large,m8g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,8.0,EBS only,supported,0.1,0.1288,,0.0453,0.0741,
m8gd.large,m8gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1286,0.1574,,,,
t3.large,t,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,8.0,EBS only,unsupported,0.0912,0.12,0.1188,0.0394,0.0682,0.067
t4g.large,t,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,unsupported,0.0736,0.1024,,0.0318,0.0606,
i3.large,i3,Storage optimized,eu-south-2,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),2.0,15.25,1 x 475 NVMe SSD,unsupported,0.172,0.201,0.264,0.084,0.113,0.176
i3en.large,i3en,Storage optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 1250 NVMe SSD,unsupported,0.25,0.279,0.342,0.109,0.137,0.201
i4i.large,i4i,Storage optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,1 x 468 NVMe SSD,unsupported,0.189,0.218,0.281,0.087,0.116,0.179
r5.large,r5,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,EBS only,unsupported,0.141,0.17,0.233,0.061,0.09,0.153
r5d.large,r5d,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 75 NVMe SSD,unsupported,0.16,0.189,0.252,0.069,0.098,0.161
r6g.large,r6g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,16.0,EBS only,supported,0.1128,0.1416,,0.0487,0.0775,
r6gd.large,r6gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,16.0,1 x 118 NVMe SSD,supported,0.128,0.1568,,0.0553,0.0841,
r6id.large,r6id,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,1 x 118 NVMe SSD,unsupported,0.168,0.1968,0.26,0.0726,0.1014,0.1646
r7a.large,r7a,Memory optimized,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,2.0,16.0,EBS only,unsupported,0.1703,0.1991,0.2623,0.0772,0.106,0.1692
r7g.large,r7g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,16.0,EBS only,supported,0.1198,0.1486,,0.0543,0.0831,
r7gd.large,r7gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,16.0,1 x 118 NVMe SSD,supported,0.1512,0.18,,0.0653,0.0941,
r7i.large,r7i,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,16.0,EBS only,unsupported,0.148,0.1769,0.2401,0.0672,0.096,0.1592
r8g.large,r8g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,16.0,EBS only,supported,0.1318,0.1606,,0.0598,0.0886,
r8gd.large,r8gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,16.0,1 x 118 NVMe SSD,supported,0.1633,0.1921,,,,
c5.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,EBS only,supported,0.192,0.25,0.376,0.083,0.141,0.267
c5d.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,1 x 100 NVMe SSD,supported,0.218,0.276,0.402,0.094,0.152,0.278
c6g.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,8.0,EBS only,supported,0.1459,0.2035,,0.0664,0.124,
c6gd.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,8.0,1 x 237 NVMe SSD,supported,0.1744,0.232,,0.0753,0.1329,
c6in.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,8.0,EBS only,supported,0.256,0.3136,0.44,0.108,0.1656,0.292
c7a.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,4.0,8.0,EBS only,supported,0.2318,0.2894,0.4158,0.1052,0.1628,0.2892
c7g.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,8.0,EBS only,supported,0.155,0.2126,,0.0706,0.1282,
c7gd.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,8.0,1 x 237 NVMe SSD,supported,0.206,0.2636,,0.089,0.1466,
c7i-flex.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),4.0,8.0,EBS only,unsupported,0.1915,0.2491,0.3663,0.0869,0.1445,0.2617
c7i.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),4.0,8.0,EBS only,supported,0.2016,0.2592,0.3856,0.0915,0.149,0.2754
c8g.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,4.0,8.0,EBS only,supported,0.1705,0.2281,,0.0777,0.1353,
c8gd.xlarge,c,Compute optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,4.0,8.0,1 x 237 NVMe SSD,supported,0.2225,0.2801,,,,
g5g.xlarge,g5g,GPU instance,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,8.0,EBS only,unsupported,0.4687,0.5263,,0.2022,0.2598,
g6.xlarge,g6,GPU instance,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,4.0,16.0,1 x 250 GB NVMe SSD,supported,0.848,0.9056,1.032,0.3892,0.4468,0.5732
im4gn.xlarge,im4gn,Storage optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,16.0,1 x 1875 SSD,unsupported,0.4011,0.4587,,0.183,0.2406,
m5.xlarge,m5,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,16.0,EBS only,supported,0.214,0.272,0.398,0.092,0.15,0.276
m5d.xlarge,m5d,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,16.0,1 x 150 NVMe SSD,supported,0.252,0.31,0.436,0.109,0.166,0.293
m6g.xlarge,m6g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,16.0,EBS only,supported,0.172,0.2296,,0.0734,0.131,
m6gd.xlarge,m6gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,16.0,1 x 237 NVMe SSD,supported,0.2016,0.2592,,0.0871,0.1447,
m6idn.xlarge,m6idn,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,16.0,1 x 237 NVMe SSD,supported,0.3484,0.406,0.5324,0.1343,0.1919,0.3183
m6in.xlarge,m6in,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,16.0,EBS only,supported,0.3104,0.368,0.4944,0.1196,0.1772,0.3036
m7a.xlarge,m7a,General purpose,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,4.0,16.0,EBS only,supported,0.2584,0.316,0.4424,0.1172,0.1748,0.3012
m7g.xlarge,m7g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,16.0,EBS only,supported,0.1818,0.2394,,0.0823,0.1399,
m7gd.xlarge,m7gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,16.0,1 x 237 NVMe SSD,supported,0.2381,0.2957,,0.1029,0.1605,
m7i-flex.xlarge,m7i-flex,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),4.0,16.0,EBS only,unsupported,0.2135,0.2711,0.3883,0.0968,0.1544,0.2716
m7i.xlarge,m7i,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),4.0,16.0,EBS only,supported,0.2247,0.2823,0.4087,0.1019,0.1595,0.2859
m8g.xlarge,m8g,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,4.0,16.0,EBS only,supported,0.2,0.2576,,0.0905,0.1481,
m8gd.xlarge,m8gd,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,4.0,16.0,1 x 237 NVMe SSD,supported,0.2572,0.3148,,,,
t3.xlarge,t,General purpose,eu-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,4.0,16.0,EBS only,unsupported,0.1824,0.24,0.256,0.0788,0.1364,0.1524
t4g.xlarge,t,General purpose,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,16.0,EBS only,unsupported,0.1472,0.2048,,0.0636,0.1212,
i3.xlarge,i3,Storage optimized,eu-south-2,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),4.0,30.5,1 x 950 NVMe SSD,unsupported,0.344,0.402,0.528,0.168,0.226,0.352
g6e.xlarge,g6e,GPU instance,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,4.0,32.0,1 x 250 GB NVMe SSD,supported,1.961,2.0186,2.145,0.8471,0.9048,1.0312
i3en.xlarge,i3en,Storage optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,32.0,1 x 2500 NVMe SSD,supported,0.5,0.558,0.684,0.217,0.275,0.401
i4i.xlarge,i4i,Storage optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,32.0,1 x 937 NVMe SSD,supported,0.378,0.436,0.562,0.175,0.232,0.359
r5.xlarge,r5,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,32.0,EBS only,supported,0.282,0.34,0.466,0.122,0.179,0.306
r5d.xlarge,r5d,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,32.0,1 x 150 NVMe SSD,supported,0.32,0.378,0.504,0.138,0.196,0.322
r6g.xlarge,r6g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,32.0,EBS only,supported,0.2256,0.2832,,0.0975,0.1551,
r6gd.xlarge,r6gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,32.0,1 x 237 NVMe SSD,supported,0.256,0.3136,,0.1106,0.1682,
r6id.xlarge,r6id,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,32.0,1 x 237 NVMe SSD,supported,0.336,0.3936,0.52,0.1452,0.2028,0.3291
r7a.xlarge,r7a,Memory optimized,eu-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,4.0,32.0,EBS only,supported,0.3405,0.3981,0.5245,0.1545,0.2121,0.3385
r7g.xlarge,r7g,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,32.0,EBS only,supported,0.2396,0.2972,,0.1086,0.1662,
r7gd.xlarge,r7gd,Memory optimized,eu-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,32.0,1 x 237 NVMe SSD,supported,0.3024,0.36,,0.1306,0.1882,
r7i.xlarge,r7i,Memory optimized,eu-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),4.0,32.0,EBS only,supported,0.2961,0.3537,0.4801,0.1343,0.1919,0.3183
